./books1.xml,./resource/test.xqy,./resource/result1.csv
./books2.xml,./resource/test.xqy,./resource/result2.csv
./books3.xml,./resource/test.xqy,./resource/result3.csv
./books4.xml,./resource/test.xqy,./resource/result4.csv
./books5.xml,./resource/test.xqy,./resource/result5.csv
./books6.xml,./resource/test.xqy,./resource/result6.csv
./books7.xml,./resource/test.xqy,./resource/result7.csv
./books8.xml,./resource/test.xqy,./resource/result8.csv
./books9.xml,./resource/test.xqy,./resource/result9.csv
./books10.xml,./resource/test.xqy,./resource/result10.csv
